# target,,uncorrected (10 iterations),,,,extrapolated (11 iterations),,,,high frequency slope correction (7 iterations),,,
# period (s),sa (g),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s),period (s),sa (g),frequency (Hz),FAS (g-s)
0.01,0.199825503,0.01,0.204505,0.2,0.0339424,0.01,0.20504,0.1,0.0151834,0.01,0.194148,0.1,0.0151691
0.02,0.199825503,0.02,0.206079,0.200608,0.0337447,0.02,0.205644,0.100372,0.0152116,0.02,0.205563,0.100372,0.0151973
0.03,0.216939714,0.03,0.220703,0.201218,0.0335593,0.03,0.221514,0.100745,0.0152398,0.03,0.223117,0.100745,0.0152255
0.04,0.242880487,0.04,0.244666,0.20183,0.0333814,0.04,0.245372,0.10112,0.0152682,0.04,0.246116,0.10112,0.0152538
0.05,0.267854655,0.05,0.268766,0.202444,0.0332088,0.05,0.26934,0.101496,0.0152965,0.05,0.26959,0.101496,0.0152821
0.06,0.288571965,0.06,0.290247,0.203059,0.0330405,0.06,0.290798,0.101874,0.015325,0.06,0.290867,0.101874,0.0153105
0.075,0.318052001,0.075,0.318069,0.203677,0.0328756,0.075,0.318667,0.102253,0.0153534,0.075,0.318678,0.102253,0.015339
0.09,0.338916309,0.09,0.342776,0.204296,0.0327134,0.09,0.344006,0.102633,0.015382,0.09,0.344015,0.102633,0.0153675
0.1,0.358449643,0.1,0.360323,0.204917,0.0325536,0.1,0.361552,0.103015,0.0154106,0.1,0.361558,0.103015,0.0153961
0.12,0.392580718,0.12,0.395126,0.20554,0.0323963,0.12,0.396055,0.103398,0.0154392,0.12,0.396054,0.103398,0.0154247
0.15,0.437050749,0.15,0.436311,0.206165,0.0322413,0.15,0.436165,0.103783,0.0154679,0.15,0.436162,0.103783,0.0154533
0.17,0.452190538,0.17,0.451282,0.206792,0.0320875,0.17,0.450749,0.104169,0.0154966,0.17,0.450748,0.104169,0.0154821
0.2,0.459307473,0.2,0.457503,0.207421,0.0319346,0.2,0.456762,0.104557,0.0155254,0.2,0.456762,0.104557,0.0155108
0.24,0.44795986,0.24,0.446977,0.208051,0.0317831,0.24,0.446374,0.104946,0.0155543,0.24,0.446374,0.104946,0.0155396
0.3,0.417052472,0.3,0.415852,0.208684,0.0316331,0.3,0.415418,0.105336,0.0155832,0.3,0.415419,0.105336,0.0155685
0.36,0.381317747,0.36,0.381372,0.209318,0.0314846,0.36,0.381057,0.105728,0.0156121,0.36,0.381057,0.105728,0.0155975
0.4,0.360870333,0.4,0.359568,0.209955,0.0313378,0.4,0.359112,0.106121,0.0156412,0.4,0.359112,0.106121,0.0156264
0.46,0.329827664,0.46,0.328395,0.210593,0.0311927,0.46,0.328201,0.106516,0.0156702,0.46,0.328201,0.106516,0.0156555
0.5,0.307788211,0.5,0.309647,0.211234,0.0310495,0.5,0.309706,0.106912,0.0156993,0.5,0.309706,0.106912,0.0156846
0.6,0.273121951,0.6,0.271756,0.211876,0.0309081,0.6,0.271585,0.10731,0.0157285,0.6,0.271585,0.10731,0.0157137
0.75,0.22735969,0.75,0.228321,0.21252,0.0307687,0.75,0.228451,0.107709,0.0157577,0.75,0.228452,0.107709,0.0157429
0.85,0.207273636,0.85,0.207034,0.213166,0.0306206,0.85,0.206988,0.10811,0.015787,0.85,0.206989,0.10811,0.0157722
1,0.181582209,1,0.180978,0.213814,0.0304747,1,0.180752,0.108512,0.0158164,1,0.180747,0.108512,0.0158015
1.5,0.120725792,1.5,0.120954,0.214465,0.0303306,1.5,0.121046,0.108916,0.0158458,1.5,0.121049,0.108916,0.0158309
2,0.088289178,2,0.0879473,0.215117,0.0301881,2,0.0876242,0.109321,0.0158752,2,0.0876198,0.109321,0.0158603
3,0.047811565,3,0.0475647,0.215771,0.0300473,3,0.0479066,0.109727,0.0159047,3,0.0479027,0.109727,0.0158897
4,0.029239413,4,0.0305663,0.216427,0.0299081,4,0.0294028,0.110136,0.0159343,4,0.0294105,0.110136,0.0159193
5,0.020123083,5,0.0201233,0.217085,0.0297704,5,0.0202735,0.110545,0.0159639,5,0.0202618,0.110545,0.0159489
,,,,0.217745,0.0296343,,,0.110957,0.0159935,,,0.110957,0.0159785
