# Strata OUTPUT -- Ratio -- Bedrock (Outcrop) to 0 (Outcrop) -- Transfer Function
# Example site for the manual figures
# Frequency (Hz),S-1-M-manual-example\G01000.AT2
0,1
0.0501002,1.00088
0.1002,1.00369
0.150301,1.00844
0.200401,1.01517
0.250501,1.02394
0.300601,1.03483
0.350701,1.04794
0.400802,1.06338
0.450902,1.0813
0.501002,1.10188
0.551102,1.12532
0.601202,1.15187
0.651303,1.18181
0.701403,1.21546
0.751503,1.25323
0.801603,1.29556
0.851703,1.34297
0.901804,1.39607
0.951904,1.45556
1.002,1.52233
1.0521,1.59724
1.1022,1.68132
1.1523,1.77565
1.2024,1.8814
1.25251,1.99962
1.30261,2.1311
1.35271,2.276
1.40281,2.43328
1.45291,2.5998
1.50301,2.7693
1.55311,2.93135
1.60321,3.07119
1.65331,3.17148
1.70341,3.21672
1.75351,3.19881
1.80361,3.1206
1.85371,2.99466
1.90381,2.83823
1.95391,2.66785
2.00401,2.49641
2.05411,2.33205
2.10421,2.17919
2.15431,2.03967
2.20441,1.91378
2.25451,1.80092
2.30461,1.7001
2.35471,1.61015
2.40481,1.52992
2.45491,1.45833
2.50501,1.39439
2.55511,1.33722
2.60521,1.28607
2.65531,1.24026
2.70541,1.19923
2.75551,1.16247
2.80561,1.12955
2.85571,1.10011
2.90581,1.07385
2.95591,1.05049
3.00601,1.02977
3.05611,1.0115
3.10621,0.995493
3.15631,0.98161
3.20641,0.969723
3.25651,0.959726
3.30661,0.95153
3.35671,0.945063
3.40681,0.940267
3.45691,0.937096
3.50701,0.935519
3.55711,0.935514
3.60721,0.937071
3.65731,0.940193
3.70741,0.94489
3.75752,0.951183
3.80762,0.959106
3.85772,0.968704
3.90782,0.980042
3.95792,0.993167
4.00802,1.00815
4.05812,1.02508
4.10822,1.04403
4.15832,1.06512
4.20842,1.08845
4.25852,1.11413
4.30862,1.14228
4.35872,1.17299
4.40882,1.20638
4.45892,1.24251
4.50902,1.28144
4.55912,1.32314
4.60922,1.36753
4.65932,1.41441
4.70942,1.46344
4.75952,1.51407
4.80962,1.56555
4.85972,1.6168
4.90982,1.66646
4.95992,1.71289
5.01002,1.75421
5.06012,1.78844
5.11022,1.81371
5.16032,1.82846
5.21042,1.83167
5.26052,1.82304
5.31062,1.80305
5.36072,1.77284
5.41082,1.73408
5.46092,1.6887
