# Strata OUTPUT -- Response -- 25 (Outcrop) -- Shear Strain Time Series -- manual-example\G01000.AT2
# Example site for the manual figures
# Time (s),S-1
0,4.1224e-06
0.005,4.11678e-06
0.01,4.12436e-06
0.015,4.12924e-06
0.02,4.15228e-06
0.025,4.17547e-06
0.03,4.22607e-06
0.035,4.28448e-06
0.04,4.39096e-06
0.045,4.52907e-06
0.05,4.77506e-06
0.055,5.1493e-06
0.06,5.89661e-06
0.065,7.44287e-06
0.07,1.16073e-05
0.075,1.92873e-05
0.08,2.71015e-05
0.085,3.15392e-05
0.09,3.24948e-05
0.095,3.21546e-05
0.1,3.12206e-05
0.105,2.98801e-05
0.11,2.81955e-05
0.115,2.62708e-05
0.12,2.41516e-05
0.125,2.18885e-05
0.13,1.94716e-05
0.135,1.69321e-05
0.14,1.42665e-05
0.145,1.14815e-05
0.15,8.54939e-06
0.155,5.48529e-06
0.16,2.29605e-06
0.165,-9.81574e-07
0.17,-4.32973e-06
0.175,-7.70068e-06
0.18,-1.10507e-05
0.185,-1.43152e-05
0.19,-1.74962e-05
0.195,-2.0661e-05
0.2,-2.39596e-05
0.205,-2.75739e-05
0.21,-3.17244e-05
0.215,-3.64571e-05
0.22,-4.14312e-05
0.225,-4.60087e-05
0.23,-4.97271e-05
0.235,-5.25205e-05
0.24,-5.45929e-05
0.245,-5.61571e-05
0.25,-5.7368e-05
0.255,-5.82841e-05
0.26,-5.89114e-05
0.265,-5.92401e-05
0.27,-5.92986e-05
0.275,-5.91108e-05
0.28,-5.87096e-05
0.285,-5.81336e-05
0.29,-5.74616e-05
0.295,-5.6772e-05
0.3,-5.60949e-05
0.305,-5.53557e-05
0.31,-5.44663e-05
0.315,-5.33945e-05
0.32,-5.22029e-05
0.325,-5.10581e-05
0.33,-5.0264e-05
0.335,-5.0117e-05
0.34,-5.07608e-05
0.345,-5.21887e-05
0.35,-5.43352e-05
0.355,-5.70294e-05
0.36,-5.99932e-05
0.365,-6.28954e-05
0.37,-6.53978e-05
0.375,-6.71288e-05
0.38,-6.7765e-05
0.385,-6.71637e-05
0.39,-6.54862e-05
0.395,-6.31499e-05
0.4,-6.06639e-05
0.405,-5.84862e-05
0.41,-5.70366e-05
0.415,-5.66814e-05
0.42,-5.76131e-05
0.425,-5.95929e-05
0.43,-6.1873e-05
0.435,-6.35227e-05
0.44,-6.39438e-05
0.445,-6.30635e-05
0.45,-6.12312e-05
0.455,-5.89624e-05
0.46,-5.66757e-05
0.465,-5.45941e-05
0.47,-5.29333e-05
0.475,-5.19592e-05
0.48,-5.17536e-05
0.485,-5.20609e-05
0.49,-5.25944e-05
0.495,-5.34281e-05
0.5,-5.49392e-05
0.505,-5.72865e-05
0.51,-6.00083e-05
0.515,-6.2178e-05
0.52,-6.31972e-05
0.525,-6.33271e-05
0.53,-6.31938e-05
0.535,-6.30666e-05
0.54,-6.30656e-05
0.545,-6.3578e-05
0.55,-6.49073e-05
0.555,-6.67041e-05
0.56,-6.80604e-05
0.565,-6.80343e-05
0.57,-6.61854e-05
0.575,-6.27588e-05
0.58,-5.83659e-05
0.585,-5.34712e-05
0.59,-4.82816e-05
0.595,-4.31434e-05
0.6,-3.88636e-05
0.605,-3.63274e-05
0.61,-3.59329e-05
0.615,-3.75089e-05
0.62,-4.05846e-05
0.625,-4.4691e-05
0.63,-4.95433e-05
0.635,-5.47359e-05
0.64,-5.94281e-05
0.645,-6.27682e-05
0.65,-6.4563e-05
0.655,-6.53138e-05
0.66,-6.58762e-05
0.665,-6.69953e-05
0.67,-6.87028e-05
0.675,-7.02102e-05
0.68,-7.07094e-05
0.685,-6.9987e-05
0.69,-6.81667e-05
0.695,-6.53845e-05
0.7,-6.21271e-05
0.705,-5.95571e-05
0.71,-5.89183e-05
0.715,-6.05271e-05
0.72,-6.39796e-05
0.725,-6.93232e-05
0.73,-7.70914e-05
0.735,-8.68984e-05
0.74,-9.67948e-05
0.745,-0.000104636
0.75,-0.000109973
0.755,-0.000114116
0.76,-0.000118421
0.765,-0.000122998
0.77,-0.000126954
0.775,-0.000129128
0.78,-0.000128575
0.785,-0.000124697
0.79,-0.000116997
0.795,-0.000104983
0.8,-8.87619e-05
0.805,-6.96715e-05
0.81,-5.01745e-05
0.815,-3.31191e-05
0.82,-2.11467e-05
0.825,-1.62883e-05
0.83,-1.91468e-05
0.835,-2.79732e-05
0.84,-3.8968e-05
0.845,-4.82893e-05
0.85,-5.43761e-05
0.855,-5.81944e-05
0.86,-6.14089e-05
0.865,-6.52092e-05
0.87,-7.06965e-05
0.875,-7.89904e-05
0.88,-9.05223e-05
0.885,-0.000104104
0.89,-0.000116441
0.895,-0.000123658
0.9,-0.000124254
0.905,-0.00011989
0.91,-0.000113452
0.915,-0.000107193
0.92,-0.000102296
0.925,-9.8915e-05
0.93,-9.62184e-05
0.935,-9.29243e-05
0.94,-8.80643e-05
0.945,-8.11261e-05
0.95,-7.21272e-05
0.955,-6.19763e-05
0.96,-5.22889e-05
0.965,-4.44999e-05
0.97,-3.94992e-05
0.975,-3.84492e-05
0.98,-4.32474e-05
0.985,-5.51956e-05
0.99,-7.31527e-05
0.995,-9.29622e-05
1,-0.000108855
1.005,-0.000116287
1.01,-0.000113968
1.015,-0.000103256
1.02,-8.62297e-05
1.025,-6.47221e-05
1.03,-4.13913e-05
1.035,-2.13593e-05
1.04,-1.07502e-05
1.045,-1.24412e-05
1.05,-2.40859e-05
1.055,-3.99555e-05
1.06,-5.38825e-05
1.065,-6.14179e-05
1.07,-6.0759e-05
1.075,-5.31789e-05
1.08,-4.35837e-05
1.085,-3.90546e-05
1.09,-4.48769e-05
1.095,-6.26827e-05
1.1,-9.23041e-05
1.105,-0.000132563
1.11,-0.000179568
1.115,-0.000225799
1.12,-0.000261405
1.125,-0.000277083
1.13,-0.000267419
1.135,-0.000233457
1.14,-0.000183535
1.145,-0.000130542
1.15,-8.64218e-05
1.155,-5.90696e-05
1.16,-5.27044e-05
1.165,-6.74461e-05
1.17,-9.79686e-05
1.175,-0.00013436
1.18,-0.000165327
1.185,-0.000181682
1.19,-0.000177792
1.195,-0.000152114
1.2,-0.000109999
1.205,-6.46082e-05
1.21,-3.06862e-05
1.215,-1.71118e-05
1.22,-2.5811e-05
1.225,-5.4566e-05
1.23,-9.90023e-05
1.235,-0.000152929
1.24,-0.000207897
1.245,-0.000254211
1.25,-0.000284183
1.255,-0.000294733
1.26,-0.000286812
1.265,-0.00026346
1.27,-0.000229709
1.275,-0.000193226
1.28,-0.000161961
1.285,-0.000139697
1.29,-0.000124982
1.295,-0.000114885
1.3,-0.000108863
1.305,-0.000108621
1.31,-0.000114996
1.315,-0.000126355
1.32,-0.000140611
1.325,-0.000158554
1.33,-0.000184243
1.335,-0.000220043
1.34,-0.000261342
1.345,-0.000297655
1.35,-0.000318432
1.355,-0.000316681
1.36,-0.00028784
1.365,-0.000228654
1.37,-0.000140948
1.375,-3.68978e-05
1.38,6.27127e-05
1.385,0.000138519
1.39,0.000181277
1.395,0.000192919
1.4,0.000182947
1.405,0.000163268
1.41,0.000143554
1.415,0.000129143
1.42,0.000120116
1.425,0.00011097
1.43,9.36429e-05
1.435,6.21758e-05
1.44,1.36028e-05
1.445,-5.25616e-05
1.45,-0.000131862
1.455,-0.000212905
1.46,-0.000278897
1.465,-0.000311993
1.47,-0.000299453
1.475,-0.000238922
1.48,-0.000140704
1.485,-2.6409e-05
1.49,7.70444e-05
1.495,0.000145251
1.5,0.000160046
1.505,0.000110568
1.51,-2.52985e-06
1.515,-0.000163272
1.52,-0.000343907
1.525,-0.000513475
1.53,-0.000645793
1.535,-0.000724707
1.54,-0.00074717
1.545,-0.000724975
1.55,-0.000681781
1.555,-0.000642816
1.56,-0.00062333
1.565,-0.000623941
1.57,-0.000634337
1.575,-0.00064039
1.58,-0.000627893
1.585,-0.000582377
1.59,-0.000492226
1.595,-0.000358099
1.6,-0.000198713
1.605,-4.30059e-05
1.61,8.33377e-05
1.615,0.000164746
1.62,0.000197801
1.625,0.000191178
1.63,0.000159213
1.635,0.000112496
1.64,5.54419e-05
1.645,-8.0083e-06
1.65,-6.88329e-05
1.655,-0.000114705
1.66,-0.000139395
1.665,-0.000150876
1.67,-0.000166758
1.675,-0.000199898
1.68,-0.00024955
1.685,-0.000304148
1.69,-0.000347736
1.695,-0.000364055
1.7,-0.000341892
1.705,-0.000283604
1.71,-0.000207988
1.715,-0.000139995
1.72,-9.50405e-05
