# Strata OUTPUT -- Response -- Bedrock (Outcrop) -- Accel. Response Spectrum
# Example site for the manual figures
# Period (s),S-1-M-manual-example\G01000.AT2
0.01,0.101386
0.0102527,0.101458
0.0105118,0.101533
0.0107775,0.101609
0.0110499,0.101685
0.0113291,0.101766
0.0116154,0.101858
0.011909,0.101953
0.01221,0.102051
0.0125185,0.102143
0.0128349,0.102214
0.0131593,0.102298
0.0134918,0.102412
0.0138328,0.102592
0.0141824,0.102957
0.0145408,0.10354
0.0149083,0.104278
0.0152851,0.105158
0.0156713,0.106173
0.0160674,0.107158
0.0164735,0.108135
0.0168898,0.109132
0.0173166,0.110104
0.0177543,0.111027
0.0182029,0.111511
0.018663,0.111508
0.0191346,0.111637
0.0196182,0.11162
0.020114,0.110581
0.0206223,0.109285
0.0211435,0.110602
0.0216779,0.111369
0.0222257,0.112054
0.0227874,0.113961
0.0233633,0.115593
0.0239537,0.115488
0.0245591,0.114708
0.0251798,0.113709
0.0258161,0.113607
0.0264686,0.114651
0.0271375,0.11575
0.0278233,0.117346
0.0285265,0.11788
0.0292474,0.118177
0.0299865,0.118835
0.0307444,0.119949
0.0315214,0.123103
0.032318,0.126376
0.0331347,0.128252
0.0339721,0.129645
0.0348307,0.130576
0.0357109,0.130633
0.0366134,0.129855
0.0375387,0.130318
0.0384874,0.132426
0.0394601,0.137627
0.0404573,0.144811
0.0414798,0.152414
0.0425281,0.159276
0.0436029,0.164763
0.0447048,0.169198
0.0458346,0.170671
0.0469929,0.171319
0.0481806,0.171658
0.0493982,0.170857
0.0506466,0.170298
0.0519266,0.171972
0.0532389,0.17663
0.0545843,0.185146
0.0559638,0.196099
0.0573782,0.204647
0.0588282,0.206624
0.060315,0.205094
0.0618393,0.208959
0.0634021,0.219329
0.0650044,0.210022
0.0666472,0.184661
0.0683315,0.175295
0.0700584,0.195743
0.071829,0.225735
0.0736443,0.242891
0.0755054,0.235239
0.0774136,0.221732
0.0793701,0.206964
0.0813759,0.208145
0.0834325,0.222
0.085541,0.230602
0.0877028,0.229732
0.0899193,0.224153
0.0921918,0.226584
0.0945217,0.244064
0.0969104,0.262061
0.0993596,0.269056
0.101871,0.267759
0.104445,0.251022
0.107085,0.235221
0.109791,0.221845
0.112566,0.210843
0.11541,0.204562
0.118327,0.200431
0.121318,0.194001
0.124384,0.19621
0.127527,0.206181
0.13075,0.208527
0.134054,0.206928
0.137442,0.202445
0.140916,0.196633
0.144477,0.188925
0.148128,0.179914
0.151872,0.183169
0.15571,0.182121
0.159645,0.185864
0.16368,0.185507
0.167816,0.194029
0.172057,0.213836
0.176406,0.238336
0.180864,0.258861
0.185435,0.279087
0.190121,0.299656
0.194926,0.314238
0.199852,0.319705
0.204903,0.314702
0.210081,0.304021
0.21539,0.290348
0.220834,0.283408
0.226415,0.292033
0.232137,0.294677
0.238003,0.287938
0.244018,0.270982
0.250185,0.247726
0.256508,0.248638
0.26299,0.250433
0.269637,0.251711
0.276451,0.251978
0.283438,0.252251
0.290601,0.253888
0.297945,0.257854
0.305475,0.26366
0.313195,0.269559
0.32111,0.273451
0.329225,0.273927
0.337546,0.275834
0.346076,0.287938
0.354822,0.290449
0.363789,0.284693
0.372983,0.272639
0.382409,0.255704
0.392074,0.235008
0.401982,0.221805
0.412141,0.212122
0.422557,0.202786
0.433236,0.192876
0.444185,0.182507
0.455411,0.17172
0.46692,0.160761
0.47872,0.151365
0.490819,0.142236
0.503223,0.132788
0.51594,0.12296
0.528979,0.113139
0.542348,0.103377
0.556054,0.0943481
0.570107,0.0870572
0.584515,0.080347
0.599287,0.0764856
0.614432,0.0772456
0.629961,0.075729
0.645881,0.0772702
0.662204,0.0779128
0.678939,0.0768406
0.696098,0.0742813
0.71369,0.0706216
0.731726,0.0660827
0.750219,0.0617377
0.769179,0.0587626
0.788618,0.0557767
0.808548,0.0527294
0.828982,0.0495715
0.849932,0.046292
0.871412,0.0428188
0.893434,0.03911
0.916014,0.03514
0.939163,0.0310955
0.962898,0.0271907
0.987233,0.0266979
1.01218,0.026253
1.03776,0.0257937
1.06399,0.0250891
1.09088,0.0244112
1.11845,0.0239282
1.14671,0.0234186
1.17569,0.0229067
1.20541,0.0223815
1.23587,0.0216086
1.2671,0.0208762
1.29913,0.0204501
1.33196,0.0201759
1.36562,0.0198682
1.40013,0.0195266
1.43552,0.0191158
1.4718,0.0183052
1.50899,0.0178369
1.54713,0.0177456
1.58623,0.0177502
1.62631,0.0172649
1.66741,0.016675
1.70955,0.0161469
1.75276,0.0157628
1.79705,0.0154668
1.84247,0.0158992
1.88903,0.0160391
1.93677,0.0159692
1.98572,0.0157266
2.0359,0.0153684
2.08736,0.0149898
2.14011,0.0146646
2.19419,0.0141698
2.24965,0.0140918
2.3065,0.0143034
2.36479,0.0142497
2.42456,0.0138029
2.48583,0.0135147
2.54865,0.0131298
2.61306,0.0127989
2.6791,0.012959
2.74681,0.0127461
2.81623,0.0122461
2.8874,0.0126868
2.96037,0.0123288
3.03519,0.0111073
3.11189,0.0107909
3.19054,0.010749
3.27117,0.0103351
3.35384,0.0102152
3.4386,0.0102406
3.5255,0.00999972
3.6146,0.00984942
3.70595,0.00930973
3.7996,0.00815632
3.89563,0.00738893
3.99408,0.00745287
4.09502,0.00772863
4.19851,0.00737462
4.30462,0.00682747
4.41341,0.00684494
4.52494,0.00697149
4.6393,0.00640893
4.75654,0.00574893
4.87675,0.00556707
5,0.00584926
