# Strata OUTPUT -- Ratio -- Bedrock (Within) to 0 (Outcrop) -- Transfer Function
# Example site for the manual figures
# Frequency (Hz),S-1-M-manual-example\G01000.AT2
0,1
0.0501002,1.00101
0.1002,1.00404
0.150301,1.00911
0.200401,1.01628
0.250501,1.02561
0.300601,1.03721
0.350701,1.0512
0.400802,1.06774
0.450902,1.087
0.501002,1.10923
0.551102,1.13468
0.601202,1.16371
0.651303,1.19668
0.701403,1.2341
0.751503,1.27652
0.801603,1.32466
0.851703,1.37937
0.901804,1.44171
0.951904,1.513
1.002,1.59501
1.0521,1.68981
1.1022,1.80011
1.1523,1.9295
1.2024,2.08276
1.25251,2.26636
1.30261,2.48928
1.35271,2.76419
1.40281,3.10945
1.45291,3.55209
1.50301,4.13213
1.55311,4.90691
1.60321,5.94469
1.65331,7.25992
1.70341,8.56706
1.75351,9.03205
1.80361,8.19915
1.85371,6.81662
1.90381,5.57432
1.95391,4.62574
2.00401,3.92078
2.05411,3.39004
2.10421,2.982
2.15431,2.66141
2.20441,2.40448
2.25451,2.19497
2.30461,2.02157
2.35471,1.87621
2.40481,1.75304
2.45491,1.64771
2.50501,1.55692
2.55511,1.47815
2.60521,1.40944
2.65531,1.34924
2.70541,1.2963
2.75551,1.24964
2.80561,1.20845
2.85571,1.17204
2.90581,1.13991
2.95591,1.11159
3.00601,1.08668
3.05611,1.06487
3.10621,1.04588
3.15631,1.02951
3.20641,1.01557
3.25651,1.0039
3.30661,0.994392
3.35671,0.98694
3.40681,0.981468
3.45691,0.977919
3.50701,0.976256
3.55711,0.976456
3.60721,0.978517
3.65731,0.982452
3.70741,0.98829
3.75752,0.996079
3.80762,1.00588
3.85772,1.0178
3.90782,1.03194
3.95792,1.04842
4.00802,1.06739
4.05812,1.08904
4.10822,1.11358
4.15832,1.14125
4.20842,1.17237
4.25852,1.20725
4.30862,1.2463
4.35872,1.28996
4.40882,1.33877
4.45892,1.39331
4.50902,1.45425
4.55912,1.52237
4.60922,1.59847
4.65932,1.68346
4.70942,1.77821
4.75952,1.88351
4.80962,1.99991
4.85972,2.12754
4.90982,2.26525
4.95992,2.41041
5.01002,2.558
5.06012,2.69987
5.11022,2.82465
5.16032,2.91885
5.21042,2.96977
5.26052,2.96946
5.31062,2.91775
5.36072,2.82236
5.41082,2.6959
5.46092,2.55196
5.51102,2.40208
5.56112,2.25454
5.61122,2.11451
5.66132,1.98467
5.71142,1.86607
5.76152,1.75873
5.81162,1.66221
5.86172,1.5756
5.91182,1.49797
5.96192,1.42842
6.01202,1.36608
6.06212,1.31019
6.11222,1.26005
6.16232,1.21506
6.21242,1.17466
6.26253,1.13841
6.31263,1.10589
6.36273,1.07675
6.41283,1.05069
6.46293,1.02744
6.51303,1.00677
6.56313,0.988487
6.61323,0.97242
6.66333,0.958423
6.71343,0.946372
6.76353,0.936175
6.81363,0.927736
6.86373,0.920973
6.91383,0.915828
6.96393,0.912253
7.01403,0.910213
7.06413,0.909687
7.11423,0.910659
7.16433,0.913127
7.21443,0.917097
7.26453,0.922586
7.31463,0.929618
7.36473,0.938229
7.41483,0.94846
7.46493,0.960366
7.51503,0.974007
7.56513,0.989452
7.61523,1.00678
7.66533,1.02607
7.71543,1.04743
7.76553,1.07096
7.81563,1.09673
7.86573,1.12483
7.91583,1.15534
7.96593,1.18832
8.01603,1.22379
8.06613,1.26172
8.11623,1.30204
8.16633,1.34455
8.21643,1.38893
8.26653,1.43473
8.31663,1.48127
8.36673,1.52765
8.41683,1.57274
8.46693,1.61515
8.51703,1.6533
8.56713,1.68552
8.61723,1.71016
8.66733,1.72578
8.71743,1.73133
8.76754,1.72645
8.81764,1.71138
8.86774,1.68693
8.91784,1.65439
8.96794,1.61536
9.01804,1.57154
9.06814,1.52455
9.11824,1.47589
9.16834,1.42678
9.21844,1.37821
9.26854,1.33093
9.31864,1.28546
9.36874,1.24217
9.41884,1.20126
9.46894,1.16284
9.51904,1.12695
9.56914,1.09355
9.61924,1.06259
9.66934,1.03401
9.71944,1.00768
9.76954,0.983478
9.81964,0.961309
9.86974,0.941064
9.91984,0.922638
9.96994,0.905936
10.02,0.890868
10.0701,0.877351
10.1202,0.865309
10.1703,0.854674
10.2204,0.845385
10.2705,0.837386
10.3206,0.830631
10.3707,0.825078
10.4208,0.82069
10.4709,0.817436
10.521,0.815293
10.5711,0.814238
10.6212,0.814267
10.6713,0.815359
10.7214,0.817502
10.7715,0.820693
10.8216,0.824929
10.8717,0.830209
10.9218,0.836536
10.9719,0.843913
11.022,0.852341
11.0721,0.861824
11.1222,0.872359
11.1723,0.883944
11.2224,0.896568
11.2725,0.910214
11.3226,0.924852
11.3727,0.940442
11.4228,0.956923
11.4729,0.974217
11.523,0.992218
11.5731,1.01079
11.6232,1.02977
11.6733,1.04893
11.7234,1.06803
11.7735,1.08678
11.8236,1.10485
11.8737,1.12187
11.9238,1.13744
11.9739,1.15118
12.024,1.16269
12.0741,1.1716
12.1242,1.17761
12.1743,1.18049
12.2244,1.18009
12.2745,1.17639
12.3246,1.16946
12.3747,1.15947
12.4248,1.1467
12.4749,1.13147
12.5251,1.11417
12.5752,1.0952
12.6253,1.07498
12.6754,1.05388
12.7255,1.03227
12.7756,1.01046
12.8257,0.988725
12.8758,0.967289
12.9259,0.946343
12.976,0.926037
13.0261,0.906485
13.0762,0.887774
13.1263,0.869966
13.1764,0.853101
13.2265,0.837203
13.2766,0.822285
13.3267,0.808346
13.3768,0.79538
13.4269,0.783374
13.477,0.772316
13.5271,0.76219
13.5772,0.752967
13.6273,0.744625
13.6774,0.737143
13.7275,0.730498
13.7776,0.72467
13.8277,0.719639
13.8778,0.715385
13.9279,0.711891
13.978,0.70914
14.0281,0.707115
14.0782,0.705804
14.1283,0.70519
14.1784,0.705262
14.2285,0.706006
14.2786,0.707409
14.3287,0.70946
14.3788,0.712144
14.4289,0.715449
14.479,0.719363
14.5291,0.723862
14.5792,0.728927
14.6293,0.734532
14.6794,0.740651
14.7295,0.747249
14.7796,0.754289
14.8297,0.761725
14.8798,0.769504
14.9299,0.777564
14.98,0.785835
15.0301,0.794235
15.0802,0.802675
15.1303,0.811052
15.1804,0.819257
15.2305,0.827171
15.2806,0.834667
15.3307,0.841614
15.3808,0.847882
15.4309,0.853328
15.481,0.857838
15.5311,0.861301
15.5812,0.863621
15.6313,0.864724
15.6814,0.864557
15.7315,0.863097
15.7816,0.860345
15.8317,0.856332
15.8818,0.851115
15.9319,0.844772
15.982,0.837403
16.0321,0.829123
16.0822,0.820055
16.1323,0.810331
16.1824,0.800083
16.2325,0.789439
16.2826,0.778525
16.3327,0.767456
16.3828,0.756339
16.4329,0.745271
16.483,0.734337
16.5331,0.723611
16.5832,0.713155
16.6333,0.703023
16.6834,0.693258
16.7335,0.683895
16.7836,0.674964
16.8337,0.666486
16.8838,0.658476
16.9339,0.650948
16.984,0.643908
17.0341,0.637361
17.0842,0.631309
17.1343,0.625749
17.1844,0.620681
17.2345,0.6161
17.2846,0.612
17.3347,0.608379
17.3848,0.605228
17.4349,0.602538
17.485,0.600299
17.5351,0.598504
17.5852,0.597143
17.6353,0.596205
17.6854,0.595681
17.7355,0.595558
17.7856,0.595825
17.8357,0.59647
17.8858,0.597477
17.9359,0.598831
17.986,0.600516
18.0361,0.602513
18.0862,0.604802
18.1363,0.60736
18.1864,0.610161
18.2365,0.613179
18.2866,0.616384
18.3367,0.619742
18.3868,0.623215
18.4369,0.626764
18.487,0.630347
18.5371,0.633916
18.5872,0.637426
18.6373,0.640825
18.6874,0.644061
18.7375,0.647081
18.7876,0.649833
18.8377,0.652264
18.8878,0.654325
18.9379,0.655969
18.988,0.657154
19.0381,0.657842
19.0882,0.658006
19.1383,0.657621
19.1884,0.656674
19.2385,0.65516
19.2886,0.653077
19.3387,0.650445
19.3888,0.647286
19.4389,0.643627
19.489,0.639506
19.5391,0.634963
19.5892,0.630044
19.6393,0.624799
19.6894,0.619278
19.7395,0.613532
19.7896,0.607612
19.8397,0.60157
19.8898,0.595451
19.9399,0.589301
19.99,0.583164
20.0401,0.577076
20.0902,0.571074
20.1403,0.565189
20.1904,0.55945
20.2405,0.553883
